Category: Arts & Entertainment

Month,K-pop: (Worldwide)
2004-01,6
2004-02,5
2004-03,3
2004-04,7
2004-05,4
2004-06,7
2004-07,5
2004-08,6
2004-09,6
2004-10,5
2004-11,6
2004-12,4
2005-01,4
2005-02,4
2005-03,4
2005-04,3
2005-05,4
2005-06,6
2005-07,5
2005-08,5
2005-09,4
2005-10,4
2005-11,5
2005-12,5
2006-01,5
2006-02,3
2006-03,4
2006-04,5
2006-05,3
2006-06,4
2006-07,3
2006-08,3
2006-09,3
2006-10,4
2006-11,3
2006-12,4
2007-01,3
2007-02,4
2007-03,4
2007-04,4
2007-05,3
2007-06,3
2007-07,3
2007-08,4
2007-09,2
2007-10,2
2007-11,3
2007-12,3
2008-01,2
2008-02,3
2008-03,3
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,4
2008-09,4
2008-10,3
2008-11,3
2008-12,3
2009-01,4
2009-02,4
2009-03,4
2009-04,4
2009-05,4
2009-06,5
2009-07,6
2009-08,8
2009-09,8
2009-10,8
2009-11,9
2009-12,9
2010-01,9
2010-02,10
2010-03,11
2010-04,11
2010-05,13
2010-06,14
2010-07,15
2010-08,18
2010-09,18
2010-10,20
2010-11,18
2010-12,21
2011-01,22
2011-02,22
2011-03,20
2011-04,26
2011-05,27
2011-06,31
2011-07,32
2011-08,37
2011-09,34
2011-10,38
2011-11,36
2011-12,41
2012-01,42
2012-02,40
2012-03,40
2012-04,43
2012-05,45
2012-06,45
2012-07,49
2012-08,52
2012-09,53
2012-10,49
2012-11,49
2012-12,52
2013-01,46
2013-02,43
2013-03,44
2013-04,43
2013-05,45
2013-06,46
2013-07,47
2013-08,48
2013-09,44
2013-10,43
2013-11,45
2013-12,44
2014-01,45
2014-02,43
2014-03,44
2014-04,44
2014-05,45
2014-06,45
2014-07,45
2014-08,50
2014-09,47
2014-10,48
2014-11,47
2014-12,48
2015-01,49
2015-02,43
2015-03,46
2015-04,50
2015-05,49
2015-06,53
2015-07,56
2015-08,53
2015-09,49
2015-10,49
2015-11,51
2015-12,57
2016-01,56
2016-02,53
2016-03,53
2016-04,57
2016-05,58
2016-06,61
2016-07,60
2016-08,57
2016-09,52
2016-10,55
2016-11,55
2016-12,64
2017-01,63
2017-02,63
2017-03,61
2017-04,63
2017-05,58
2017-06,60
2017-07,65
2017-08,62
2017-09,55
2017-10,54
2017-11,54
2017-12,75
2018-01,68
2018-02,62
2018-03,60
2018-04,64
2018-05,63
2018-06,65
2018-07,66
2018-08,68
2018-09,61
2018-10,54
2018-11,59
2018-12,67
2019-01,67
2019-02,63
2019-03,66
2019-04,66
2019-05,62
2019-06,66
2019-07,65
2019-08,65
2019-09,58
2019-10,64
2019-11,66
2019-12,70
2020-01,65
2020-02,57
2020-03,63
2020-04,76
2020-05,83
2020-06,100
2020-07,85
2020-08,87
2020-09,89
2020-10,81
2020-11,80
2020-12,88
2021-01,86
2021-02,79
2021-03,83
2021-04,81
2021-05,81
