Category: All categories

Month,k-pop: (Worldwide)
2004-01,19
2004-02,9
2004-03,8
2004-04,10
2004-05,7
2004-06,11
2004-07,13
2004-08,5
2004-09,6
2004-10,3
2004-11,5
2004-12,11
2005-01,8
2005-02,7
2005-03,7
2005-04,4
2005-05,3
2005-06,8
2005-07,9
2005-08,12
2005-09,5
2005-10,10
2005-11,4
2005-12,6
2006-01,4
2006-02,9
2006-03,3
2006-04,9
2006-05,4
2006-06,8
2006-07,3
2006-08,6
2006-09,7
2006-10,3
2006-11,5
2006-12,4
2007-01,5
2007-02,6
2007-03,3
2007-04,4
2007-05,5
2007-06,5
2007-07,5
2007-08,2
2007-09,3
2007-10,6
2007-11,4
2007-12,5
2008-01,4
2008-02,5
2008-03,4
2008-04,5
2008-05,6
2008-06,2
2008-07,4
2008-08,4
2008-09,4
2008-10,4
2008-11,4
2008-12,4
2009-01,5
2009-02,4
2009-03,4
2009-04,5
2009-05,4
2009-06,4
2009-07,7
2009-08,8
2009-09,9
2009-10,11
2009-11,13
2009-12,12
2010-01,13
2010-02,14
2010-03,12
2010-04,16
2010-05,14
2010-06,18
2010-07,23
2010-08,21
2010-09,20
2010-10,21
2010-11,24
2010-12,27
2011-01,29
2011-02,25
2011-03,25
2011-04,31
2011-05,37
2011-06,41
2011-07,46
2011-08,49
2011-09,49
2011-10,51
2011-11,53
2011-12,61
2012-01,68
2012-02,56
2012-03,58
2012-04,100
2012-05,78
2012-06,69
2012-07,66
2012-08,71
2012-09,78
2012-10,69
2012-11,65
2012-12,66
2013-01,60
2013-02,54
2013-03,60
2013-04,55
2013-05,52
2013-06,55
2013-07,54
2013-08,54
2013-09,48
2013-10,45
2013-11,46
2013-12,46
2014-01,43
2014-02,42
2014-03,44
2014-04,43
2014-05,41
2014-06,46
2014-07,42
2014-08,46
2014-09,43
2014-10,37
2014-11,38
2014-12,36
2015-01,39
2015-02,35
2015-03,35
2015-04,32
2015-05,34
2015-06,33
2015-07,36
2015-08,33
2015-09,31
2015-10,28
2015-11,31
2015-12,31
2016-01,35
2016-02,32
2016-03,29
2016-04,34
2016-05,32
2016-06,28
2016-07,27
2016-08,27
2016-09,29
2016-10,24
2016-11,27
2016-12,29
2017-01,29
2017-02,26
2017-03,26
2017-04,28
2017-05,26
2017-06,25
2017-07,27
2017-08,25
2017-09,24
2017-10,25
2017-11,24
2017-12,37
2018-01,32
2018-02,32
2018-03,31
2018-04,32
2018-05,31
2018-06,29
2018-07,29
2018-08,32
2018-09,29
2018-10,27
2018-11,28
2018-12,34
2019-01,29
2019-02,25
2019-03,35
2019-04,33
2019-05,31
2019-06,27
2019-07,27
2019-08,27
2019-09,26
2019-10,27
2019-11,32
2019-12,31
2020-01,26
2020-02,25
2020-03,32
2020-04,39
2020-05,35
2020-06,46
2020-07,37
2020-08,42
2020-09,72
2020-10,53
2020-11,51
2020-12,56
2021-01,60
2021-02,54
2021-03,50
2021-04,49
2021-05,51
