Group Name,Company,Group Type,Debute Year,Disband Year,Current Status,Social Accounts,Inactive Members,Current Members,Original Members Remainding,Initial Members,Member Changes,SubUnits,Albums,Mini Albums, Other Albums,Singles,Digital Singles,Other Singles,Foreign Albums, Foreign Mini Albums,Foreign Other Album,Foreign Singles,Foreign Digital Singles,Foreign Other Singles,Others,Last Production Year
(G)I-DLE,Cube Entertainment,Female,2018,,Active,10,1,5,5,6,0,0,0,4,0,1,4,0,0,2,0,2,2,0,5,2021
10X10,Gaon Entertainment,Female,2015,2016,Disband,2,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2016
1NB ,Trivus Entertainment,Female,2017,2018,Disband,4,0,5,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2018
1PS,Maroo Entertainment,Female,2014,2015,Disband,3,0,5,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2014
2EYES,SidusHQ,Female,2013,2017,Disband,2,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
2NE1,YG Entertainment,Female,2009,2017,Disband,5,0,3,3,4,1,0,2,2,2,0,12,0,2,1,0,2,2,0,1,2017
3YE,GH Entertainment,Female,2019,,Active,5,0,3,3,3,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2021
4CARAT,Youngbridge Entertainment,Female,2019,,Active,1,0,3,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
4G,Heuk Ggo Entertainment,Female,2014,2015,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
4L,Jade Contents Media,Female,2014,2015,Disband,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
4minute,Cube Entertainment,Female,2009,2016,Disband,5,0,5,5,5,0,1,1,8,0,0,7,4,1,0,0,7,0,0,6,2016
4SOME,Sugar Entertainment,Female,2015,2016,Disband,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
4TEN,Jungle Entertainment,Female,2014,2018,Disband,5,0,3,2,4,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2016
4Tomorrow,Colabs,Female,2009,2009,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009
7Princess,YesPlease Entertainment,Female,2003,2009,Disband,0,0,7,1,7,14,0,2,0,2,1,0,0,0,0,0,0,0,0,1,2009
84LY,Colabs,Female,2012,2013,Disband,0,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
9MUSES,Star Empire Entertainment,Female,2010,2019,Disband,6,0,4,1,10,13,1,1,5,1,2,4,0,0,0,0,0,0,0,2,2019
A Train to Autumn,Cube Entertainment,Female,2018,2020,Disband,3,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2019
A-Daily,DK Entertainment,Female,2014,,Active,4,0,2,2,6,7,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2017
A-DEAN,DIA9 Entertainment,Female,2013,2019,Disband,4,0,4,2,4,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
A-Fati,Coolwave Entertainment,Female,2014,2016,Disband,2,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2015
A-Feel,SA Entertainment,Female,2019,,Active,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
A-Plus,Owl Entertainment,Female,2015,2016,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
A-seed,Yechan Media,Female,2017,2018,Disband,4,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2018
A.De,2ABLE Company,Female,2016,2017,Disband,4,0,6,6,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2017
