group_name,company,group_type,debute_year,disband_year,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,others,last_production_year,total_releases,lifespan
10X10,gaon_entertainment,0,2015,2016,2,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2016,3,2
1NB ,trivus_entertainment,0,2017,2018,4,0,5,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2018,6,2
1PS,maroo_entertainment,0,2014,2015,3,0,5,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,2,2
2EYES,sidushq,0,2013,2017,2,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,2,5
2NE1,yg_entertainment,0,2009,2017,5,0,3,3,4,1,0,2,2,2,0,12,0,2,1,0,2,2,1,2017,26,9
4G,heuk_ggo_entertainment,0,2014,2015,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
4L,jade_contents_media,0,2014,2015,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
4minute,cube_entertainment,0,2009,2016,5,0,5,5,5,0,1,1,8,0,0,7,4,1,0,0,7,0,6,2016,34,8
4SOME,sugar_entertainment,0,2015,2016,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
4TEN,jungle_entertainment,0,2014,2018,5,0,3,2,4,6,0,0,1,0,0,3,0,0,0,0,0,0,0,2016,4,5
4Tomorrow,colabs,0,2009,2009,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009,1,1
7Princess,yesplease_entertainment,0,2003,2009,0,0,7,1,7,14,0,2,0,2,1,0,0,0,0,0,0,0,1,2009,6,7
84LY,colabs,0,2012,2013,0,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,2
9MUSES,star_empire_entertainment,0,2010,2019,6,0,4,1,10,13,1,1,5,1,2,4,0,0,0,0,0,0,2,2019,15,10
A Train to Autumn,cube_entertainment,0,2018,2020,3,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2019,6,3
A-DEAN,dia9_entertainment,0,2013,2019,4,0,4,2,4,10,0,0,0,0,0,4,0,0,0,0,0,0,0,2018,4,7
A-Fati,coolwave_entertainment,0,2014,2016,2,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2015,6,3
A-Plus,owl_entertainment,0,2015,2016,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
A-seed,yechan_media,0,2017,2018,4,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2018,3,2
A.De,2able_company,0,2016,2017,4,0,6,6,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2017,3,2
A.H.H.A,yellocean,0,2015,2016,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
A.I.N,starcommerce_entertainment,0,2014,2014,0,0,7,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,1
A.KOR,doo_republic,0,2014,2017,3,0,5,3,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,2015,3,4
