group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
(G)I-DLE,cube_entertainment,Female,2018,0,Active,10,1,5,5,6,0,0,0,4,0,1,4,0,0,2,0,2,2,0,5,2021
10X10,gaon_entertainment,Female,2015,2016,Disband,2,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2016
1NB ,trivus_entertainment,Female,2017,2018,Disband,4,0,5,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2018
1PS,maroo_entertainment,Female,2014,2015,Disband,3,0,5,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2014
2EYES,sidushq,Female,2013,2017,Disband,2,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
2NE1,yg_entertainment,Female,2009,2017,Disband,5,0,3,3,4,1,0,2,2,2,0,12,0,2,1,0,2,2,0,1,2017
3YE,gh_entertainment,Female,2019,0,Active,5,0,3,3,3,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2021
4CARAT,youngbridge_entertainment,Female,2019,0,Active,1,0,3,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
4G,heuk_ggo_entertainment,Female,2014,2015,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
4L,jade_contents_media,Female,2014,2015,Disband,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
4minute,cube_entertainment,Female,2009,2016,Disband,5,0,5,5,5,0,1,1,8,0,0,7,4,1,0,0,7,0,0,6,2016
4SOME,sugar_entertainment,Female,2015,2016,Disband,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
4TEN,jungle_entertainment,Female,2014,2018,Disband,5,0,3,2,4,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2016
4Tomorrow,colabs,Female,2009,2009,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009
7Princess,yesplease_entertainment,Female,2003,2009,Disband,0,0,7,1,7,14,0,2,0,2,1,0,0,0,0,0,0,0,0,1,2009
84LY,colabs,Female,2012,2013,Disband,0,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
9MUSES,star_empire_entertainment,Female,2010,2019,Disband,6,0,4,1,10,13,1,1,5,1,2,4,0,0,0,0,0,0,0,2,2019
A Train to Autumn,cube_entertainment,Female,2018,2020,Disband,3,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2019
A-Daily,dk_entertainment,Female,2014,0,Active,4,0,2,2,6,7,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2017
A-DEAN,dia9_entertainment,Female,2013,2019,Disband,4,0,4,2,4,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
A-Fati,coolwave_entertainment,Female,2014,2016,Disband,2,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2015
A-Feel,sa_entertainment,Female,2019,0,Active,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
A-Plus,owl_entertainment,Female,2015,2016,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
A-seed,yechan_media,Female,2017,2018,Disband,4,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2018
A.De,2able_company,Female,2016,2017,Disband,4,0,6,6,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2017
A.H.H.A,yellocean,Female,2015,2016,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
A.I.N,starcommerce_entertainment,Female,2014,2014,Disband,0,0,7,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
A.KOR,doo_republic,Female,2014,2017,Disband,3,0,5,3,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2015
A.sia,starmade_entertainment,Female,2006,2007,Disband,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
A.SOME,the_solution,Female,2016,2017,Disband,1,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016
ABRY,withhc,Female,2017,0,Active,7,0,2,2,4,2,0,0,1,0,0,4,1,0,0,0,0,0,0,4,2019
ACE,worthy_entertainment,Female,2015,2016,Disband,2,0,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
aespa,sm_entertainment,Female,2020,0,Active,7,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021
After School,pledis_entertainment,Female,2009,2020,Disband,5,0,1,1,5,10,3,1,0,0,6,2,3,2,0,1,6,0,0,5,2015
